name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_rate,ranking_per_event_B
Juraj Repan,SVK,4821,,13.0,3,3,0,0,0,0,0,1,10,1,29,15,0.06666666666666667,4.333333333333333
Diego Lequerica Buscaglia,PER,4397,,13.0,4,4,0,0,0,0,0,3,8,14,20,20,0.15,3.25
Nickolaie Rivadeneira ,ECU,3220,,13.0,4,4,0,0,0,0,0,0,6,0,31,20,0.0,3.25
John Brosler,USA,1754,179.0,13.0,7,7,0,0,0,0,0,1,11,4,27,35,0.02857142857142857,1.8571428571428572
Borna Cujic,CRO,3037,,13.0,6,6,0,0,0,0,0,7,17,16,55,30,0.23333333333333334,2.1666666666666665
Kin Wah Lai,CAN,1622,,12.66,2,2,0,0,0,0,0,0,4,0,5,10,0.0,6.33
Danyil Boldyrev,UKR,1480,,12.5,1,1,0,0,0,0,0,0,0,0,0,5,0.0,12.5
Yury Takzhanov,RUS,95,,12.5,2,2,0,0,0,0,0,3,6,7,17,10,0.3,6.25
Raphael Fernandez,BEL,310,,12.0,3,3,0,0,0,0,0,3,5,6,6,15,0.2,4.0
Franz Josef Weber,MEX,11651,,12.0,3,3,0,0,0,0,0,0,5,0,13,15,0.0,4.0
Hidekazu Ito,JPN,5151,,12.0,1,1,0,0,0,0,0,1,1,3,2,5,0.2,12.0
Samuel Bowman,AUS,2491,,12.0,3,3,0,0,0,0,0,2,8,9,37,15,0.13333333333333333,4.0
Guntram Jörg,AUT,5872,,12.0,3,3,0,0,0,0,0,1,8,4,31,15,0.06666666666666667,4.0
Ning Zhang,CHN,2932,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Yaroslav Popkov,RUS,5942,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Anton Prystomau,BLR,5943,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Dmitry Stepanov,RUS,5944,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Rongwu Cao,CHN,5119,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Andrey Klizubov,RUS,5941,,11.83,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.83
Felipe Camargo,BRA,4852,,11.75,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.75
Tash Clemens Zielinski,CAN,4853,,11.75,1,1,0,0,0,0,0,0,1,0,1,5,0.0,11.75
Sergii Karpin,UKR,1479,,11.66,8,8,0,0,0,0,0,3,15,5,50,40,0.075,1.4575
Tyler Haack,USA,5897,,11.5,1,1,0,0,0,0,0,0,1,0,2,5,0.0,11.5
Stephan Rest,AUT,1279,,11.5,2,2,0,0,0,0,0,0,5,0,13,10,0.0,5.75
Dirk Mol,NED,4896,,11.5,1,1,0,0,0,0,0,1,3,1,9,5,0.2,11.5
Campbell Harrison,AUS,2493,182.0,11.5,9,9,0,0,0,0,0,7,19,21,61,45,0.15555555555555556,1.2777777777777777
Yegor Matveenko,RUS,4872,,11.5,1,1,0,0,0,0,0,0,2,0,4,5,0.0,11.5
Luyuan Cai,CHN,2926,,11.5,1,1,0,0,0,0,0,2,3,5,4,5,0.4,11.5
Philipp Geisenhoff,SUI,4303,,11.33,5,5,0,0,0,0,0,3,16,10,53,25,0.12,2.266
Juozas Bobina,LTU,6236,,11.33,1,1,0,0,0,0,0,0,0,0,0,5,0.0,11.33
Ricardo Neves,POR,6104,,11.33,1,1,0,0,0,0,0,0,0,0,0,5,0.0,11.33
Dingguo Wang,CHN,2939,,11.25,2,2,0,0,0,0,0,0,4,0,14,10,0.0,5.625
Chia Hsiang Lin,TPE,2146,,11.16,3,3,0,0,0,0,0,3,7,12,26,15,0.2,3.72
José David Martinez Sevilla,MEX,6332,,11.0,1,1,0,0,0,0,0,0,2,0,3,5,0.0,11.0
Tristan Chen,USA,1823,,11.0,2,2,0,0,0,0,0,1,5,3,13,10,0.1,5.5
Jinyu Pan,CHN,2928,,11.0,1,1,0,0,0,0,0,1,2,8,10,5,0.2,11.0
