,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
112,Natalie Bärtschi,SUI,4293,,1213.6599999999999,24,28,4,0,0,0,0,41,95,102,203,136,0.3014705882352941,50.56916666666666
113,Oceania Mackenzie,AUS,2501,173.0,1193.9099999999999,8,13,4,1,0,0,0,25,42,57,79,60,0.4166666666666667,149.23874999999998
114,Nina Caprez,SUI,5514,,1186.5,5,8,3,0,0,0,0,22,35,52,58,37,0.5945945945945946,237.3
115,Tomoko Kajima,JPN,2310,,1167.5,6,10,4,0,0,0,0,20,37,60,100,46,0.43478260869565216,194.58333333333334
116,Saki Kikuchi,JPN,2356,168.0,1124.83,9,12,2,1,0,0,0,22,47,56,111,57,0.38596491228070173,124.9811111111111
117,Manon Chapet,FRA,4760,,1117.0,13,15,2,0,0,0,0,29,56,63,93,73,0.3972602739726027,85.92307692307692
118,Lucia Dörffel,GER,4330,165.0,1116.33,11,14,2,1,0,0,0,23,46,54,98,67,0.34328358208955223,101.48454545454545
119,Yuetong Zhang,CHN,3009,160.0,1108.0,9,13,4,0,0,0,0,17,44,35,113,61,0.2786885245901639,123.11111111111111
120,Francesca Metcalf,USA,4830,,1093.0,8,10,2,0,0,0,0,14,35,26,62,48,0.2916666666666667,136.625
121,Asaki Hagiwara,JPN,2258,,1054.9099999999999,13,15,2,0,0,0,0,15,36,29,68,73,0.2054794520547945,81.14692307692306
122,Zhilu Luo,CHN,13596,160.0,1040.0,2,5,2,1,0,0,1,15,21,33,35,22,0.6818181818181818,520.0
123,Therese Johansen,NOR,6237,,1020.0,3,6,3,0,0,0,0,14,20,29,34,27,0.5185185185185185,340.0
124,Lisa Chulich,USA,1769,,1016.6999999999999,17,19,2,0,0,0,0,27,52,55,122,93,0.2903225806451613,59.805882352941175
125,Holly Toothill,GBR,694,165.0,973.16,12,15,3,0,0,0,0,23,54,62,145,72,0.3194444444444444,81.09666666666666
126,Andrea Ebner,ITA,859,,959.3299999999999,18,20,2,0,0,0,0,39,65,95,125,98,0.3979591836734694,53.29611111111111
127,Mia Aoyagi,JPN,13321,,946.16,5,8,2,1,0,0,0,19,30,52,58,37,0.5135135135135135,189.232
128,Lamu Renqing,CHN,2936,,931.16,15,17,2,0,0,0,0,20,47,43,91,83,0.24096385542168675,62.07733333333333
